2026-05-15 12:15:56 | INFO | paper_crawler_agent | Skip disabled source: ACM MM 2026 Regular Papers
2026-05-15 12:15:56 | INFO | paper_crawler_agent | Skip disabled source: SIGGRAPH 2026 Technical Papers
2026-05-15 12:15:56 | INFO | paper_crawler_agent | Run finished
2026-05-15 15:11:40 | INFO | paper_crawler_agent | Loaded 15 sources
2026-05-15 15:11:40 | INFO | paper_crawler_agent | Checking source: ECCV 2026 ECVA Papers
2026-05-15 15:12:05 | INFO | paper_crawler_agent | ECCV 2026 ECVA Papers stable ok. papers=6166 inserted=6166 updated=0 skipped=0
2026-05-15 15:12:06 | INFO | paper_crawler_agent | Checking source: CVPR 2026 CVF
2026-05-15 15:12:07 | INFO | paper_crawler_agent | Checking source: ICCV 2026 CVF
2026-05-15 15:12:08 | INFO | paper_crawler_agent | Checking source: WACV 2026 CVF
2026-05-15 15:12:14 | INFO | paper_crawler_agent | WACV 2026 CVF stable ok. papers=831 inserted=831 updated=0 skipped=0
2026-05-15 15:12:14 | INFO | paper_crawler_agent | Checking source: IJCAI 2026 Proceedings
2026-05-15 15:12:17 | INFO | paper_crawler_agent | Checking source: NeurIPS 2026 Proceedings
2026-05-15 15:12:19 | INFO | paper_crawler_agent | Checking source: ECCV 2024 ECVA Papers
2026-05-15 15:12:50 | INFO | paper_crawler_agent | ECCV 2024 ECVA Papers stable ok. papers=6166 inserted=6166 updated=0 skipped=0
2026-05-15 15:12:50 | INFO | paper_crawler_agent | Checking source: CVPR 2025 CVF
2026-05-15 15:13:07 | INFO | paper_crawler_agent | CVPR 2025 CVF stable ok. papers=2871 inserted=2871 updated=0 skipped=0
2026-05-15 15:13:07 | INFO | paper_crawler_agent | Checking source: ICCV 2025 CVF
2026-05-15 15:13:22 | INFO | paper_crawler_agent | ICCV 2025 CVF stable ok. papers=2701 inserted=2701 updated=0 skipped=0
2026-05-15 15:13:23 | INFO | paper_crawler_agent | Checking source: WACV 2026 CVF
2026-05-15 15:13:23 | INFO | paper_crawler_agent | ✓ Skip already-done source: WACV 2026 CVF (status=released_fixed_parser, papers=831, last_success=2026-05-15 15:12:14)
2026-05-15 15:13:23 | INFO | paper_crawler_agent | Checking source: IJCAI 2025 Proceedings
2026-05-15 15:13:29 | INFO | paper_crawler_agent | IJCAI 2025 Proceedings stable ok. papers=1279 inserted=1279 updated=0 skipped=0
2026-05-15 15:13:29 | INFO | paper_crawler_agent | Checking source: NeurIPS 2025 Proceedings
2026-05-15 15:13:59 | INFO | paper_crawler_agent | NeurIPS 2025 Proceedings stable ok. papers=5823 inserted=5823 updated=0 skipped=0
2026-05-15 15:13:59 | INFO | paper_crawler_agent | Skip disabled source: KDD 2026 Research Track
2026-05-15 15:13:59 | INFO | paper_crawler_agent | Skip disabled source: ACM MM 2026 Regular Papers
2026-05-15 15:13:59 | INFO | paper_crawler_agent | Skip disabled source: SIGGRAPH 2026 Technical Papers
2026-05-15 15:13:59 | INFO | paper_crawler_agent | Run finished
2026-05-15 15:14:28 | INFO | paper_crawler_agent | Loaded 15 sources
2026-05-15 15:14:28 | INFO | paper_crawler_agent | Checking source: ECCV 2026 ECVA Papers
2026-05-15 15:14:28 | INFO | paper_crawler_agent | ✓ Skip already-done source: ECCV 2026 ECVA Papers (status=released_fixed_parser, papers=6166, last_success=2026-05-15 15:12:05)
2026-05-15 15:14:28 | INFO | paper_crawler_agent | Checking source: CVPR 2026 CVF
2026-05-15 15:14:29 | INFO | paper_crawler_agent | Checking source: ICCV 2026 CVF
2026-05-15 15:14:30 | INFO | paper_crawler_agent | Checking source: WACV 2026 CVF
2026-05-15 15:14:30 | INFO | paper_crawler_agent | ✓ Skip already-done source: WACV 2026 CVF (status=released_fixed_parser, papers=831, last_success=2026-05-15 15:12:14)
2026-05-15 15:14:31 | INFO | paper_crawler_agent | Checking source: IJCAI 2026 Proceedings
2026-05-15 15:14:32 | INFO | paper_crawler_agent | Checking source: NeurIPS 2026 Proceedings
2026-05-15 15:14:33 | INFO | paper_crawler_agent | Checking source: ECCV 2024 ECVA Papers
